college_name,code
College of Dairy Science and Technology  Pookode,CDP
College of Dairy Science and Technology  Thrissur,CDT
College of Dairy Science and Technology  Thiruvananthapuram,CDV
College of Food Technology  Chalakkudy,CFT
Government Engineering College  Idukki,IDK
Kelappaji College of Agricultural Engineering and Technology  Tavanur,KCT
Government Engineering College  Kozhikkode,KKE
Government College of Engineering  Kannur,KNR
Government Rajiv Gandhi Institute of Technology  Kottayam,KTE
Mar Athanasius College of Engineering  Kothamangalam,MAC
N S S College of Engineering  Palakkad,NSS
Government Engineering College  Palakkad,PKD
Government Engineering College  Thrissur,TCR
T K M College of Engineering  Kollam,TKM
Government Engineering College Barton Hill  Thiruvananthapuram,TRV
College of Engineering  Thiruvananthapuram,TVE
Government Engineering College  Wayanad,WYD
College of Engineering  Adoor,ADR
College of Engineering of Aranmula  Pathanamthitta,AEC
College of Engineering  Attingal,CEA
College of Engineering  Cherthala,CEC
College of Engineering Kottarakkara  Kollam,CEK
College of Engineering Muttathara  Thiruvananthapuram,CEM
College of Engineering Chengannoor,CHN
College of Engineering Kidangoor  KOTTAYAM,KGR
College of Engineering  Karunagappally  Kollam,KNP
LBS College of Engineering  Kasaragod,KSD
LBS Institute of Technology for Women  Thiruvananthapuram,LBT
Model Engineering College  Ernakulam,MDL
College of Engineering  Munnar,MNR
College of Engineering Pathanapuram  Kollam,PEC
College of Engineering Poonjar  Kottayam,PJR
College of Engineering Perumon  Kollam,PRN
College of Engineering and Management Punnnapra,PRP
College of Engineering  Kallooppara,PTA
S C T College of Engineering  Thiruvananthapuram,SCT
College of Engineering  Kasaragod,TKR
College of Engineering Thalassery  Kannur,TLY
Institute of Engineering and Technology  Malappuram,UCC
University College of Engineering Thodupuzha,UCE
University College of Engineering  Kariavattom  Thiruvananthapuram,UCK
College of Engineering  Vadakara,VDA
Al-Azhar College of Engineering and Technology  Idukki,AAE
Al-Ameen Engineering College  Palakkad,AAP
Archana College of Engineering  Alappuzha,ACE
Albertian Institute of Science and Technology  Kochi,AIK
Amal Jyothi College of Engineering  Kottayam,AJC
Ammini College of Engineering  Palakkad,AME
Aryanet Institute of Technology  Palakkad,ANE
Adi Shankara Institute of Engineering and Technology  Ernakulam,ASI
Ahalia School of Engineering and Technology  Palakkad,ATP
AWH Engineering College  Kozhikkode,AWH
Axis College of Engineering and Technology  Thrissur,AXE
Bishop Jerome Institute  Kollam,BJK
Baselios Mathews II College of Engineering  Kollam,BMC
Baselios Thomas I Catholicose College of Engineering and Technology  Ernakulam,BTE
Christ College of Engineering  Thrissur,CCE
Cochin College of Engineering and Technology  Malappuram,CCV
College of Engineering and Technology  Payyanur,CEN
Cochin Institute of Science and Technology  Ernakulam,CIM
Christ Knowledge City  Ernakulam,CKC
Carmel College of Engineering and Technology Alappuzha,CMA
Believers Church Caarmel Engineering College  Pathanamthitta,CML
M. Dasan Institute of Technology  Kozhikode,DMC
Sree Ernakulathappan College of Engineering and Management  Thrissur,ECE
Eranad Knowledge City Technical Campus  Malappuram,EKC
Federal Institute of Science and Technology  Ernakulam,FIT
Focus Institute of Science and Technology Thrissur,FOP
Gurudeva Institute of Science and Technology  Kottayam,GIT
K R Gouri Amma College of Engineering  Alappuzha,GWE
Heera College of Engineering and Technology  Thiruvananthapuram,HCE
Holy Grace Academy of Engineering  Thrissur,HGW
Holy Kings College of Engineering and Technology Ernakulam,HKC
Hindustan College of Engineering  Kollam,HKE
Ilahia College of Engineering and Technology  Ernakulam,ICE
Ilahia School of Science and Technology  Muvattupuzha,ICT
I E S College of Engineering  Thrissur,IES
Indira Gandhi Institute of Engineering and Technology for Women  Ernakulam,IGW
I L M College of Engineering and Technology  Perumbavoor,ILE
Jai Bharath College of Management and Engineering Technology  Ernakulam,JBT
Jawaharlal College of Engineering and Technology  Palakkad,JCE
Jyothi Engineering College  Thrissur,JEC
John Cox Memorial C S I Institute of Technology  Thiruvananthapuram,JIT
Kottayam Institute of Technology and Science  Kottayam,KIT
KMCT College of Engineering  Kozhikode,KMC
K M E A Engineering College  Cochin,KME
KMP College of Engineering  Ernakulam,KMP
KMCT College of Engineering for Women  Kozhikode,KMW
KVM College of Engineering and Information Technology  Alappuzha,KVE
Lourdes Matha College of Science and Technology  Thiruvananthapuram,LMC
Mar Baselios Christian College of Engineering and Technology Idukki,MBC
Mar Baselios Institute of Technology and Science  Ernakulam,MBI
Mar Baselios College of Engineering and Technology  Thiruvananthapuram,MBT
Musaliar College Of Engineering  Thiruvananthapuram,MCC
Marian Engineering College  Thiruvananthapuram,MCE
Musaliar College of Engineering and Technology  Pathanamthitta,MCK
Mohandas College of Engineering and Technology  Thiruvananthapuram,MCT
M E A Engineering College  Vengoor,MEA
Malabar College of Engineering and Technology  Thrissur,MEC
MES College of Engineering and Technology  Ernakulam,MEE
MES Institute of Technology and Management  Kollam,MEK
M E S College of Engineering  Kuttippuram,MES
Mets School of Engineering  Thrissur,MET
M G College of Engineering  Thiruvananthapuram,MGC
Saintgits College of Engineering  Kottayam,MGP
ACE College Of Engineering  Thiruvananthapuram,MHP
Mookambika Technical Campus  Ernakulam,MKE
Mangalam College of Engineering  Kottayam,MLM
Malabar Institute of Technology  Kannur,MLT
Matha College of Technology  Ernakulam,MTA
Muslim Association College of Engineering  Thiruvananthapuram,MUS
Muthoot Institute of Technology and Science Ernakulam,MUT
Mount Zion College of Engineering  Pathanamthitta,MZC
Mount Zion Institute of Science and Technology  Alappuzha,MZW
Nehru College of Engineering and Research Centre  Thrissur,NCE
Nirmala College of Engineering  Thirissur,NIE
North Malabar Institute of Technology  Kasaragod,NML
P A Aziz College of Engineering and Technology  Thiruvananthapuram,PAA
Prime College of Engineering  Palakkad,PCE
Pankajakasthuri College of Engineering and Technology  Thiruvananthapuram,PKE
Pinnacle School of Engineering and Technology  Kollam,PNC
Providence College of Engineering  Chengannur,PRC
PRS College of Engineering and Technology  Thiruvananthapuram,PRS
Royal College of Engineering and Technology  Thrissur,RCE
